id,role_id,permission_id,status,authorized,created_by,created_date,last_modified_by,last_modified_date,version
,303,121,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,122,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,123,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,124,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,125,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,126,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,127,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,128,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,129,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,130,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,131,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,132,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,133,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,134,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,135,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,136,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,137,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,138,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,139,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,140,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,141,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,142,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
,303,143,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
